,episode_id,episodenbr,title,views,share,appreciation,chart,summary,date,doctorid,rating,votes,description,season,has_9,has_10,has_11,has_12,has_13,day_Mon,day_Sat,day_Sun,day_Tue
0,1.01,697,Rose,10.81,44.8,76.0,7,No Summary Available,2005-03-26,9,7.6,6504,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.,1,1,0,0,0,0,0,1,0,0
1,1.02,698,The End of the World,7.97,37.8,76.0,19,No Summary Available,2005-04-02,9,7.6,5684,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.,1,1,0,0,0,0,0,1,0,0
2,1.03,699,The Unquiet Dead,8.86,37.8,80.0,15,No Summary Available,2005-04-09,9,7.6,5326,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.,1,1,0,0,0,0,0,1,0,0
3,1.04,700,Aliens of London,7.63,35.7,82.0,18,No Summary Available,2005-04-16,9,7.0,5116,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?",1,1,0,0,0,0,0,1,0,0
4,1.05,701,World War Three,7.98,40.2,81.0,20,No Summary Available,2005-04-23,9,7.1,4943,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.,1,1,0,0,0,0,0,1,0,0
5,1.06,702,Dalek,8.63,44.9,84.0,14,No Summary Available,2005-04-30,9,8.7,5636,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies.",1,1,0,0,0,0,0,1,0,0
6,1.07,703,The Long Game,8.01,40.4,81.0,17,No Summary Available,2005-05-07,9,7.2,4872,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development.",1,1,0,0,0,0,0,1,0,0
7,1.08,704,Father's Day,8.06,44.4,83.0,17,"When Rose travels back to the day of her father's death, her meddling in the course of events has terrible consequences for the human race - in the form of the fiendish Reapers.

Synopsis Source: Radio Times",2005-05-14,9,8.4,5433,"All of her life, Rose's mother told how great a man her father Pete was. He was killed by a hit and run driver when Rose was just a baby and among her many regrets was that her father died alone, just lying on the street. Rose asks the Doctor to take her back to that day. Rather than just be with him when he dies, she actually saves him and later admits that this was her plan all along. She soon realizes that her parents' marriage was not exactly the golden relationship she had claimed it to be. Far worse however, is that by saving her father, Rose has created a tear ...",1,1,0,0,0,0,0,1,0,0
8,1.09,705,The Empty Child,7.11,37.0,84.0,21,No Summary Available,2005-05-21,9,9.2,6659,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask.",1,1,0,0,0,0,0,1,0,0
9,1.1,706,The Doctor Dances,6.86,39.0,85.0,18,No Summary Available,2005-05-28,9,9.1,6108,The gas mask zombies are on the rise as the plague spreads across war-torn London.,1,1,0,0,0,0,0,1,0,0
10,1.11,707,Boom Town,7.68,39.0,82.0,18,No Summary Available,2005-06-04,9,7.2,4631,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack encounter an old foe in the midst of hatching a scheme that could destroy the entire planet.",1,1,0,0,0,0,0,1,0,0
11,1.12,708,Bad Wolf,6.81,37.9,86.0,19,No Summary Available,2005-06-11,9,8.7,5314,The TARDIS team is separated and forced to compete in twisted and deadly games on the Game Station.,1,1,0,0,0,0,0,1,0,0
12,1.13,709,The Parting of the Ways,6.91,44.0,89.0,17,No Summary Available,2005-06-18,9,9.1,5788,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand against his greatest foes and not everyone will make it out alive.",1,1,0,0,0,0,0,1,0,0
